PathwayName	PathwayID	GeneName	GeneID
Complement system in neuronal development and plasticity	WP5090	CD55	1604
Complement system in neuronal development and plasticity	WP5090	TGFB2	7042
Complement system in neuronal development and plasticity	WP5090	C4A	110384692
Complement system in neuronal development and plasticity	WP5090	ATP8B3	148229
Complement system in neuronal development and plasticity	WP5090	MBL1P	8512
Complement system in neuronal development and plasticity	WP5090	C7	730
Complement system in neuronal development and plasticity	WP5090	COLEC10	10584
Complement system in neuronal development and plasticity	WP5090	ITGAX	3687
Complement system in neuronal development and plasticity	WP5090	PRKCZ	5590
Complement system in neuronal development and plasticity	WP5090	CD46	4179
Complement system in neuronal development and plasticity	WP5090	PARD6G	84552
Complement system in neuronal development and plasticity	WP5090	MARK3	4140
Complement system in neuronal development and plasticity	WP5090	ATP11C	286410
Complement system in neuronal development and plasticity	WP5090	FCN2	2220
Complement system in neuronal development and plasticity	WP5090	C1QA	712
Complement system in neuronal development and plasticity	WP5090	PRKCI	5584
Complement system in neuronal development and plasticity	WP5090	DIABLO	56616
Complement system in neuronal development and plasticity	WP5090	IFNG	3458
Complement system in neuronal development and plasticity	WP5090	CRB1	23418
Complement system in neuronal development and plasticity	WP5090	BAK1	578
Complement system in neuronal development and plasticity	WP5090	FAS	355
Complement system in neuronal development and plasticity	WP5090	MBL2	4153
Complement system in neuronal development and plasticity	WP5090	TGFBI	7045
Complement system in neuronal development and plasticity	WP5090	PROS1	5627
Complement system in neuronal development and plasticity	WP5090	DLGAP5	9787
Complement system in neuronal development and plasticity	WP5090	C1QB	713
Complement system in neuronal development and plasticity	WP5090	C9	735
Complement system in neuronal development and plasticity	WP5090	FCN3	8547
Complement system in neuronal development and plasticity	WP5090	ITGB2	3689
Complement system in neuronal development and plasticity	WP5090	SERPING1	710
Complement system in neuronal development and plasticity	WP5090	C5	727
Complement system in neuronal development and plasticity	WP5090	CFP	5199
Complement system in neuronal development and plasticity	WP5090	ATP11A	23250
Complement system in neuronal development and plasticity	WP5090	C1S	716
Complement system in neuronal development and plasticity	WP5090	CX3CL1	6376
Complement system in neuronal development and plasticity	WP5090	MARK2	2011
Complement system in neuronal development and plasticity	WP5090	C3	718
Complement system in neuronal development and plasticity	WP5090	PARD6A	50855
Complement system in neuronal development and plasticity	WP5090	XIAP	331
Complement system in neuronal development and plasticity	WP5090	MPP5	64398
Complement system in neuronal development and plasticity	WP5090	COLEC11	78989
Complement system in neuronal development and plasticity	WP5090	PATJ	10207
Complement system in neuronal development and plasticity	WP5090	COLEC12	81035
Complement system in neuronal development and plasticity	WP5090	MASP2	10747
Complement system in neuronal development and plasticity	WP5090	CASP7	840
Complement system in neuronal development and plasticity	WP5090	SUSD4	55061
Complement system in neuronal development and plasticity	WP5090	CAP1	10487
Complement system in neuronal development and plasticity	WP5090	LLGL2	3993
Complement system in neuronal development and plasticity	WP5090	CASP3	836
Complement system in neuronal development and plasticity	WP5090	PARD6B	84612
Complement system in neuronal development and plasticity	WP5090	C5AR2	27202
Complement system in neuronal development and plasticity	WP5090	C4BPA	722
Complement system in neuronal development and plasticity	WP5090	ITGAM	3684
Complement system in neuronal development and plasticity	WP5090	C4B	721
Complement system in neuronal development and plasticity	WP5090	ATP10A	57194
Complement system in neuronal development and plasticity	WP5090	CR2	1380
Complement system in neuronal development and plasticity	WP5090	TYRO3	7301
Complement system in neuronal development and plasticity	WP5090	ITGB3	3690
Complement system in neuronal development and plasticity	WP5090	CD59	966
Complement system in neuronal development and plasticity	WP5090	CFI	3426
Complement system in neuronal development and plasticity	WP5090	C2	717
Complement system in neuronal development and plasticity	WP5090	FASLG	356
Complement system in neuronal development and plasticity	WP5090	PARD3	56288
Complement system in neuronal development and plasticity	WP5090	CASP10	843
Complement system in neuronal development and plasticity	WP5090	BAX	581
Complement system in neuronal development and plasticity	WP5090	DEDD	9191
Complement system in neuronal development and plasticity	WP5090	C1QC	714
Complement system in neuronal development and plasticity	WP5090	CX3CR1	1524
Complement system in neuronal development and plasticity	WP5090	BID	637
Complement system in neuronal development and plasticity	WP5090	MERTK	10461
Complement system in neuronal development and plasticity	WP5090	ATP8B2	57198
Complement system in neuronal development and plasticity	WP5090	CLU	1191
Complement system in neuronal development and plasticity	WP5090	C8G	733
Complement system in neuronal development and plasticity	WP5090	CFD	1675
Complement system in neuronal development and plasticity	WP5090	C4BPB	725
Complement system in neuronal development and plasticity	WP5090	PLSCR3	57048
Complement system in neuronal development and plasticity	WP5090	C8A	731
Complement system in neuronal development and plasticity	WP5090	TGFB1	7040
Complement system in neuronal development and plasticity	WP5090	SCRIB	23513
Complement system in neuronal development and plasticity	WP5090	C3AR1	719
Complement system in neuronal development and plasticity	WP5090	CYCS	54205
Complement system in neuronal development and plasticity	WP5090	PLSCR4	57088
Complement system in neuronal development and plasticity	WP5090	CFH	3075
Complement system in neuronal development and plasticity	WP5090	CRB2	286204
Complement system in neuronal development and plasticity	WP5090	C1R	715
Complement system in neuronal development and plasticity	WP5090	ITGAV	3685
Complement system in neuronal development and plasticity	WP5090	CASP9	842
Complement system in neuronal development and plasticity	WP5090	C6	729
Complement system in neuronal development and plasticity	WP5090	AXL	558
Complement system in neuronal development and plasticity	WP5090	ATP8B1	5205
Complement system in neuronal development and plasticity	WP5090	CASP8	841
Complement system in neuronal development and plasticity	WP5090	TGFB3	7043
Complement system in neuronal development and plasticity	WP5090	MFGE8	4240
Complement system in neuronal development and plasticity	WP5090	C5AR1	728
Complement system in neuronal development and plasticity	WP5090	CSMD1	64478
Complement system in neuronal development and plasticity	WP5090	APAF1	317
Complement system in neuronal development and plasticity	WP5090	CR1	1378
Complement system in neuronal development and plasticity	WP5090	GAS6	2621
Complement system in neuronal development and plasticity	WP5090	MASP1	5648
Complement system in neuronal development and plasticity	WP5090	CFB	629
Complement system in neuronal development and plasticity	WP5090	PLSCR1	5359
Complement system in neuronal development and plasticity	WP5090	MARK1	4139
Complement system in neuronal development and plasticity	WP5090	VTN	7448
Complement system in neuronal development and plasticity	WP5090	HTRA2	27429
Complement system in neuronal development and plasticity	WP5090	MBP	4155
Complement system in neuronal development and plasticity	WP5090	C8B	732
Kinin-Kallikrein pathway	WP5089	F12	2161
Kinin-Kallikrein pathway	WP5089	SERPING1	710
Kinin-Kallikrein pathway	WP5089	CPN1	1369
Kinin-Kallikrein pathway	WP5089	BDKRB2	624
Kinin-Kallikrein pathway	WP5089	KNG1	3827
Kinin-Kallikrein pathway	WP5089	BDKRB1	623
Kinin-Kallikrein pathway	WP5089	KLKB1	3818
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA5	3442
Overview of proinflammatory and profibrotic mediators	WP5095	IL3	3562
Overview of proinflammatory and profibrotic mediators	WP5095	CX3CL1	6376
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA13	3447
Overview of proinflammatory and profibrotic mediators	WP5095	IL33	90865
Overview of proinflammatory and profibrotic mediators	WP5095	IFNK	56832
Overview of proinflammatory and profibrotic mediators	WP5095	VEGFA	7422
Overview of proinflammatory and profibrotic mediators	WP5095	IL12B	3593
Overview of proinflammatory and profibrotic mediators	WP5095	IL5	3567
Overview of proinflammatory and profibrotic mediators	WP5095	IL15	3600
Overview of proinflammatory and profibrotic mediators	WP5095	CSF3	1440
Overview of proinflammatory and profibrotic mediators	WP5095	CSF1	1435
Overview of proinflammatory and profibrotic mediators	WP5095	AREG	374
Overview of proinflammatory and profibrotic mediators	WP5095	CTF1	1489
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA1	3439
Overview of proinflammatory and profibrotic mediators	WP5095	CNTF	1270
Overview of proinflammatory and profibrotic mediators	WP5095	CCL15	6359
Overview of proinflammatory and profibrotic mediators	WP5095	IL36B	27177
Overview of proinflammatory and profibrotic mediators	WP5095	IFNW1	3467
Overview of proinflammatory and profibrotic mediators	WP5095	IL36RN	26525
Overview of proinflammatory and profibrotic mediators	WP5095	CCL2	6347
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL6	6372
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA17	3451
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL3	2921
Overview of proinflammatory and profibrotic mediators	WP5095	IL1F10	84639
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA14	3448
Overview of proinflammatory and profibrotic mediators	WP5095	IL12A	3592
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA7	3444
Overview of proinflammatory and profibrotic mediators	WP5095	CSF2	1437
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA10	3446
Overview of proinflammatory and profibrotic mediators	WP5095	IFNB1	3456
Overview of proinflammatory and profibrotic mediators	WP5095	MMP1	4312
Overview of proinflammatory and profibrotic mediators	WP5095	IL20	50604
Overview of proinflammatory and profibrotic mediators	WP5095	PPBP	5473
Overview of proinflammatory and profibrotic mediators	WP5095	TGFB1	7040
Overview of proinflammatory and profibrotic mediators	WP5095	IL7	3574
Overview of proinflammatory and profibrotic mediators	WP5095	CCL19	6363
Overview of proinflammatory and profibrotic mediators	WP5095	CCL17	6361
Overview of proinflammatory and profibrotic mediators	WP5095	CCL20	6364
Overview of proinflammatory and profibrotic mediators	WP5095	TNFSF13B	10673
Overview of proinflammatory and profibrotic mediators	WP5095	IL2	3558
Overview of proinflammatory and profibrotic mediators	WP5095	CCL22	6367
Overview of proinflammatory and profibrotic mediators	WP5095	EPO	2056
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA21	3452
Overview of proinflammatory and profibrotic mediators	WP5095	IL17A	3605
Overview of proinflammatory and profibrotic mediators	WP5095	IFNL1	282618
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA6	3443
Overview of proinflammatory and profibrotic mediators	WP5095	CCL25	6370
Overview of proinflammatory and profibrotic mediators	WP5095	CCL28	56477
Overview of proinflammatory and profibrotic mediators	WP5095	SPP1	6696
Overview of proinflammatory and profibrotic mediators	WP5095	IL23A	51561
Overview of proinflammatory and profibrotic mediators	WP5095	CCL3	6348
Overview of proinflammatory and profibrotic mediators	WP5095	EBI3	10148
Overview of proinflammatory and profibrotic mediators	WP5095	IL26	55801
Overview of proinflammatory and profibrotic mediators	WP5095	IL19	29949
Overview of proinflammatory and profibrotic mediators	WP5095	IFNL2	282616
Overview of proinflammatory and profibrotic mediators	WP5095	CCL16	6360
Overview of proinflammatory and profibrotic mediators	WP5095	IL11	3589
Overview of proinflammatory and profibrotic mediators	WP5095	CCL1	6346
Overview of proinflammatory and profibrotic mediators	WP5095	IL36A	27179
Overview of proinflammatory and profibrotic mediators	WP5095	IL24	11009
Overview of proinflammatory and profibrotic mediators	WP5095	TSLP	85480
Overview of proinflammatory and profibrotic mediators	WP5095	CCL8	6355
Overview of proinflammatory and profibrotic mediators	WP5095	IL22	50616
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL17	284340
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL13	10563
Overview of proinflammatory and profibrotic mediators	WP5095	IL18	3606
Overview of proinflammatory and profibrotic mediators	WP5095	CCL26	10344
Overview of proinflammatory and profibrotic mediators	WP5095	IL17F	112744
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA2	3440
Overview of proinflammatory and profibrotic mediators	WP5095	IL4	3565
Overview of proinflammatory and profibrotic mediators	WP5095	IL13	3596
Overview of proinflammatory and profibrotic mediators	WP5095	LTA	4049
Overview of proinflammatory and profibrotic mediators	WP5095	CCL14	6358
Overview of proinflammatory and profibrotic mediators	WP5095	CCL3L3	414062
Overview of proinflammatory and profibrotic mediators	WP5095	XCL2	6846
Overview of proinflammatory and profibrotic mediators	WP5095	IL17B	27190
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL1	2919
Overview of proinflammatory and profibrotic mediators	WP5095	MMP9	4318
Overview of proinflammatory and profibrotic mediators	WP5095	MMP3	4314
Overview of proinflammatory and profibrotic mediators	WP5095	IL1RN	3557
Overview of proinflammatory and profibrotic mediators	WP5095	XCL1	6375
Overview of proinflammatory and profibrotic mediators	WP5095	IL31	386653
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL10	3627
Overview of proinflammatory and profibrotic mediators	WP5095	PF4V1	5197
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL11	6373
Overview of proinflammatory and profibrotic mediators	WP5095	TNF	7124
Overview of proinflammatory and profibrotic mediators	WP5095	IL37	27178
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL16	58191
Overview of proinflammatory and profibrotic mediators	WP5095	IFNL3	282617
Overview of proinflammatory and profibrotic mediators	WP5095	IL17C	27189
Overview of proinflammatory and profibrotic mediators	WP5095	PF4	5196
Overview of proinflammatory and profibrotic mediators	WP5095	CCL23	6368
Overview of proinflammatory and profibrotic mediators	WP5095	CCL21	6366
Overview of proinflammatory and profibrotic mediators	WP5095	IL17D	53342
Overview of proinflammatory and profibrotic mediators	WP5095	IL27	246778
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA16	3449
Overview of proinflammatory and profibrotic mediators	WP5095	IL1A	3552
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA4	3441
Overview of proinflammatory and profibrotic mediators	WP5095	CCL2	6347
Overview of proinflammatory and profibrotic mediators	WP5095	IL12A	3592
Overview of proinflammatory and profibrotic mediators	WP5095	IL1B	3553
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL12	6387
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL9	4283
Overview of proinflammatory and profibrotic mediators	WP5095	IL6	3569
Overview of proinflammatory and profibrotic mediators	WP5095	IL25	64806
Overview of proinflammatory and profibrotic mediators	WP5095	IL36G	56300
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL8	3576
Overview of proinflammatory and profibrotic mediators	WP5095	IFNG	3458
Overview of proinflammatory and profibrotic mediators	WP5095	IFNA8	3445
Overview of proinflammatory and profibrotic mediators	WP5095	CCL5	6352
Overview of proinflammatory and profibrotic mediators	WP5095	TNFSF13	8741
Overview of proinflammatory and profibrotic mediators	WP5095	CCL7	6354
Overview of proinflammatory and profibrotic mediators	WP5095	NFKB1	4790
Overview of proinflammatory and profibrotic mediators	WP5095	CCL11	6356
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL5	6374
Overview of proinflammatory and profibrotic mediators	WP5095	OSM	5008
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL2	2920
Overview of proinflammatory and profibrotic mediators	WP5095	CCL4	6351
Overview of proinflammatory and profibrotic mediators	WP5095	CCL18	6362
Overview of proinflammatory and profibrotic mediators	WP5095	IL10	3586
Overview of proinflammatory and profibrotic mediators	WP5095	CXCL14	9547
Overview of proinflammatory and profibrotic mediators	WP5095	CCL13	6357
Overview of proinflammatory and profibrotic mediators	WP5095	CCL24	6369
Overview of proinflammatory and profibrotic mediators	WP5095	CCL4L2	388372
Overview of proinflammatory and profibrotic mediators	WP5095	IL9	3578
Overview of proinflammatory and profibrotic mediators	WP5095	IL21	59067
Overview of proinflammatory and profibrotic mediators	WP5095	IL22	50616
Overview of proinflammatory and profibrotic mediators	WP5095	LIF	3976
Homologous Recombination	WP5096	POLD1	5424
Homologous Recombination	WP5096	RAD51	5888
Homologous Recombination	WP5096	TOP3A	7156
Homologous Recombination	WP5096	BRCC3	79184
Homologous Recombination	WP5096	PALB2	79728
Homologous Recombination	WP5096	SEM1	7979
Homologous Recombination	WP5096	BRCA2	675
Homologous Recombination	WP5096	BRIP1	83990
Homologous Recombination	WP5096	ATM	472
Homologous Recombination	WP5096	BABAM2	9577
Homologous Recombination	WP5096	MRE11	4361
